user_id,age,sex,last_month_salary,number_dependents,default_flag
8870,21,F,,,0
18876,21,F,,,0
24483,21,M,,,0
28075,21,M,,,0
28122,21,M,,,0
33474,21,M,,,0
3319,22,F,,,0
12771,22,M,,,0
35417,22,M,,,0
2308,23,M,,,0
2757,23,M,,,0
15497,23,M,,,0
20887,23,M,,,0
21989,23,M,,,0
24679,23,F,,,0
27773,23,F,,,0
31655,23,M,,,0
32564,23,F,,,0
547,24,M,,,0
874,24,M,,,0
2710,24,F,,,0
5361,24,F,,,0
9700,24,M,,,0
10287,24,M,,,0
11279,24,F,,,0
20605,24,M,,,0
22435,24,M,,,0
24818,24,F,,,0
218,25,F,,,0
1312,25,M,,,0
8470,25,F,,,0
11659,25,F,,,0
12253,25,F,,,0
23117,25,M,,,0
26087,25,M,,,0
34487,25,M,,,0
35069,25,M,,,0
4497,26,M,,,0
5243,26,M,,,0
10083,26,M,,,0
11607,26,M,,,0
12673,26,F,,,0
13031,26,M,,,0
13311,26,M,,,0
15720,26,M,,,0
20797,26,M,,,0
23138,26,F,,,0
24420,26,M,,,0
25165,26,M,,,0
30607,26,M,,,0
31819,26,F,,,0
3650,27,F,,,0
10635,27,M,,,0
12396,27,F,,,0
12706,27,F,,,0
15888,27,M,,,0
18492,27,M,,,0
18788,27,M,,,0
19377,27,M,,,0
19659,27,F,,,0
22638,27,F,,,0
25301,27,F,,,0
25734,27,M,,,0
1906,28,F,,,0
4395,28,M,,,0
11005,28,M,,,0
12628,28,M,,,0
15398,28,F,,,0
16621,28,F,,,0
17540,28,M,,,0
21310,28,F,,,0
25525,28,M,,,0
27614,28,M,,,0
28170,28,F,,,0
30041,28,F,,,0
11340,29,M,,,0
21053,29,F,,,0
23145,29,M,,,0
23865,29,M,,,0
24099,29,F,,,0
33589,29,M,,,0
33610,29,F,,,0
3435,30,M,,,0
5544,30,F,,,0
14563,30,M,,,0
17573,30,F,,,0
17818,30,F,,,0
19863,30,M,,,0
20781,30,F,,,0
24447,30,M,,,0
24933,30,F,,,0
25459,30,F,,,0
28069,30,M,,,0
29399,30,F,,,0
10112,31,M,,,0
14850,31,F,,,0
17670,31,F,,,0
21624,31,F,,,0
22865,31,M,,,0
30459,31,F,,,0
3010,32,F,,,0
5621,32,F,,,0
6030,32,F,,,0
15721,32,F,,,0
19049,32,M,,,0
22938,32,F,,,0
31074,32,M,,,0
905,33,M,,,0
1634,33,M,,,0
16626,33,F,,,0
17038,33,F,,,0
19291,33,M,,,0
26739,33,F,,,0
2370,34,F,,,0
5275,34,M,,,0
7916,34,F,,,0
10681,34,F,,,0
17014,34,M,,,0
22615,34,M,,,0
27574,34,M,,,0
31471,34,M,,,0
3632,35,M,,,0
7974,35,M,,,0
11483,35,M,,,0
15361,35,F,,,0
22398,35,F,,,0
23991,35,M,,,0
28829,35,M,,,0
29565,35,M,,,0
34219,35,F,,,0
3702,36,M,,,0
9006,36,F,,,0
9053,36,F,,,0
10825,36,M,,,0
11437,36,M,,,0
19662,36,M,,,0
27322,36,M,,,0
27957,36,M,,,0
6760,37,M,,,0
6899,37,F,,,0
11476,37,F,,,0
13423,37,M,,,0
19198,37,F,,,0
23562,37,M,,,0
27347,37,M,,,0
4425,38,M,,,0
17184,38,F,,,0
17950,38,F,,,0
19110,38,F,,,0
28485,38,M,,,0
29516,38,F,,,0
30895,38,M,,,0
31918,38,F,,,0
35717,38,M,,,0
3269,39,M,,,0
13840,39,M,,,0
16079,39,F,,,0
17367,39,M,,,0
17721,39,F,,,0
26751,39,M,,,0
93,40,F,,,0
3956,40,F,,,0
5671,40,M,,,0
6458,40,F,,,0
6905,40,M,,,0
12224,40,F,,,0
14422,40,M,,,0
16933,40,F,,,0
26051,40,M,,,0
28877,40,M,,,0
32474,40,M,,,0
15145,41,M,,,0
20028,41,M,,,0
23742,41,M,,,0
33963,41,M,,,0
276,42,F,,,0
3876,42,F,,,0
8788,42,M,,,0
17290,42,F,,,0
30399,42,F,,,0
266,43,F,,,0
914,43,M,,,0
14519,43,F,,,0
25205,43,M,,,0
10168,44,M,,,0
17654,44,M,,,0
25598,44,F,,,0
30217,44,M,,,0
31962,44,M,,,0
1174,45,M,,,0
4759,45,F,,,0
11623,45,M,,,0
13296,45,F,,,0
18495,45,M,,,0
26151,45,M,,,0
28859,45,F,,,0
4348,46,M,,,0
5661,46,F,,,0
7365,46,M,,,0
7636,46,F,,,0
14813,46,F,,,0
17820,46,M,,,0
20579,46,F,,,0
21103,46,M,,,0
23450,46,F,,,0
26235,46,M,,,0
26273,46,F,,,0
28899,46,F,,,0
29171,46,M,,,0
32195,46,M,,,0
32931,46,M,,,0
208,47,M,,,0
15731,47,M,,,0
16849,47,M,,,0
23502,47,M,,,0
24306,47,F,,,0
32169,47,M,,,0
34301,47,F,,,0
34896,47,F,,,0
35479,47,F,,,0
1749,48,M,,,0
3894,48,M,,,0
4493,48,F,,,0
7883,48,M,,,0
8106,48,F,,,0
8919,48,F,,,0
9435,48,M,,,0
11719,48,F,,,0
11744,48,F,,,0
15522,48,M,,,0
19999,48,F,,,0
21032,48,M,,,0
21117,48,M,,,0
21385,48,M,,,0
23544,48,F,,,0
24195,48,M,,,0
30015,48,M,,,0
31289,48,M,,,0
32242,48,M,,,0
35634,48,M,,,0
1611,49,M,,,0
5183,49,M,,,0
5451,49,M,,,0
13352,49,M,,,0
14754,49,M,,,0
15311,49,M,,,0
16156,49,F,,,0
16729,49,M,,,0
18809,49,M,,,0
20754,49,M,,,0
24052,49,M,,,0
25995,49,M,,,0
27534,49,M,,,0
27756,49,F,,,0
28803,49,M,,,0
35695,49,M,,,0
1652,50,M,,,0
7386,50,F,,,0
8589,50,M,,,0
8884,50,F,,,0
9995,50,M,,,0
12493,50,F,,,0
13498,50,F,,,0
25191,50,M,,,0
25893,50,F,,,0
29368,50,M,,,0
29871,50,M,,,0
1190,51,F,,,0
5940,51,M,,,0
8202,51,M,,,0
12526,51,F,,,0
14174,51,M,,,0
21242,51,M,,,0
23028,51,M,,,0
24440,51,M,,,0
25875,51,M,,,0
30570,51,F,,,0
30804,51,F,,,0
33273,51,F,,,0
6138,52,F,,,0
10703,52,M,,,0
15645,52,M,,,0
17514,52,M,,,0
17716,52,F,,,0
18398,52,F,,,0
18571,52,M,,,0
20517,52,M,,,0
21786,52,F,,,0
22364,52,F,,,0
24997,52,M,,,0
25133,52,F,,,0
28701,52,F,,,0
29896,52,F,,,0
29935,52,M,,,0
1431,53,M,,,0
1635,53,M,,,0
4606,53,F,,,0
5070,53,F,,,0
5890,53,F,,,0
7634,53,M,,,0
10447,53,M,,,0
10902,53,M,,,0
14148,53,M,,,0
14735,53,M,,,0
15327,53,M,,,0
17471,53,M,,,0
17732,53,M,,,0
19604,53,F,,,0
20189,53,M,,,0
23176,53,F,,,0
23214,53,M,,,0
24018,53,F,,,0
25559,53,F,,,0
31703,53,M,,,0
34330,53,F,,,0
35446,53,F,,,0
191,54,M,,,0
6024,54,F,,,0
6276,54,F,,,0
8433,54,F,,,0
8579,54,F,,,0
9483,54,M,,,0
10290,54,F,,,0
10592,54,M,,,0
10903,54,M,,,0
11872,54,M,,,0
12248,54,M,,,0
16366,54,F,,,0
17333,54,F,,,0
24646,54,F,,,0
26027,54,M,,,0
31774,54,M,,,0
32441,54,F,,,0
33105,54,M,,,0
35576,54,F,,,0
35788,54,M,,,0
546,55,F,,,0
2460,55,M,,,0
3374,55,M,,,0
6569,55,M,,,0
6925,55,M,,,0
10621,55,F,,,0
10675,55,M,,,0
13139,55,F,,,0
14430,55,F,,,0
14434,55,M,,,0
18284,55,F,,,0
19607,55,M,,,0
21200,55,M,,,0
21930,55,F,,,0
30789,55,M,,,0
32078,55,F,,,0
33885,55,M,,,0
33936,55,F,,,0
1603,56,M,,,0
8777,56,M,,,0
9066,56,F,,,0
9491,56,M,,,0
13221,56,F,,,0
17602,56,M,,,0
18501,56,F,,,0
19318,56,F,,,0
19762,56,M,,,0
22710,56,F,,,0
23271,56,M,,,0
24093,56,F,,,0
26212,56,M,,,0
26726,56,F,,,0
26820,56,M,,,0
28078,56,F,,,0
28431,56,M,,,0
28525,56,M,,,0
29886,56,F,,,0
31993,56,F,,,0
33109,56,M,,,0
35673,56,F,,,0
59,57,F,,,0
377,57,M,,,0
2562,57,M,,,0
3200,57,M,,,0
8729,57,M,,,0
13407,57,M,,,0
15357,57,M,,,0
16520,57,M,,,0
19275,57,M,,,0
23806,57,F,,,0
25105,57,M,,,0
27466,57,F,,,0
28827,57,M,,,0
29069,57,M,,,0
32549,57,M,,,0
32807,57,M,,,0
33393,57,F,,,0
35699,57,F,,,0
1064,58,F,,,0
3230,58,F,,,0
8693,58,F,,,0
9523,58,M,,,0
10082,58,M,,,0
10564,58,F,,,0
14816,58,F,,,0
17240,58,M,,,0
17864,58,F,,,0
18261,58,F,,,0
18754,58,M,,,0
22706,58,F,,,0
23618,58,F,,,0
23771,58,M,,,0
26328,58,M,,,0
27857,58,M,,,0
31146,58,F,,,0
34222,58,M,,,0
34346,58,F,,,0
35942,58,M,,,0
724,59,F,,,0
822,59,M,,,0
4563,59,M,,,0
6247,59,M,,,0
8527,59,M,,,0
8996,59,F,,,0
13182,59,M,,,0
17748,59,M,,,0
17856,59,F,,,0
19118,59,F,,,0
21311,59,M,,,0
23367,59,M,,,0
23433,59,F,,,0
23665,59,M,,,0
24796,59,F,,,0
27212,59,M,,,0
27815,59,M,,,0
29513,59,F,,,0
33914,59,M,,,0
34009,59,M,,,0
816,60,F,,,0
1236,60,F,,,0
1584,60,F,,,0
2813,60,F,,,0
3979,60,F,,,0
5791,60,M,,,0
6719,60,F,,,0
7821,60,F,,,0
12786,60,F,,,0
15908,60,M,,,0
18319,60,F,,,0
18758,60,F,,,0
20786,60,F,,,0
21094,60,M,,,0
21872,60,M,,,0
23989,60,M,,,0
24106,60,F,,,0
25535,60,M,,,0
27090,60,F,,,0
30464,60,F,,,0
33046,60,F,,,0
34545,60,M,,,0
34683,60,M,,,0
5224,61,F,,,0
5839,61,F,,,0
9470,61,F,,,0
11671,61,M,,,0
12462,61,M,,,0
13008,61,M,,,0
14447,61,M,,,0
17969,61,M,,,0
20151,61,M,,,0
20881,61,F,,,0
23358,61,F,,,0
23377,61,M,,,0
24970,61,F,,,0
26330,61,F,,,0
27197,61,M,,,0
27332,61,M,,,0
28821,61,F,,,0
30251,61,M,,,0
31251,61,M,,,0
32822,61,M,,,0
33657,61,M,,,0
34532,61,M,,,0
857,62,M,,,0
3283,62,M,,,0
5588,62,M,,,0
7304,62,F,,,0
10606,62,F,,,0
11688,62,M,,,0
13776,62,F,,,0
16950,62,F,,,0
17460,62,M,,,0
18318,62,F,,,0
18347,62,M,,,0
20100,62,M,,,0
21337,62,M,,,0
22298,62,F,,,0
22872,62,M,,,0
23888,62,M,,,0
24709,62,M,,,0
25266,62,F,,,0
27155,62,M,,,0
30373,62,F,,,0
31164,62,F,,,0
32388,62,M,,,0
32875,62,M,,,0
34055,62,M,,,0
106,63,F,,,0
187,63,M,,,0
2155,63,M,,,0
2752,63,M,,,0
3174,63,M,,,0
6637,63,M,,,0
7340,63,M,,,0
10008,63,M,,,0
13400,63,M,,,0
15025,63,M,,,0
15659,63,F,,,0
