user_id,age,last_salary_calculated,dependents_calculated,default_flag,using_lines_not_secured_personal_assets,debt_ratio,total_times_delayed_payment,age_category,total_loans_calculated,quartile_age
31865,83,4166,0,0,0.058770728,0.26949844,0,80-89,11,80-96
31374,22,929,0,0,0.0,0.0,0,20-29,2,20-39
9487,85,3302,0,0,0.027678242,0.736300333,0,80-89,20,80-96
9028,86,3675,0,0,0.0,0.0,0,80-89,1,80-96
4012,21,0,0,0,0.017269587,2.0,0,20-29,2,20-39
10140,81,7706,0,0,0.0,0.113273647,0,80-89,8,80-96
20755,85,5067,0,0,0.000268189,11.0,0,80-89,4,80-96
22599,86,5000,0,0,0.064753257,0.00679864,0,80-89,5,80-96
26924,90,4388,0,0,0.9999999,303.0,0,90+,5,80-96
28075,21,2905,0,0,0.816367265,12.0,0,20-29,1,20-39
1104,82,5067,0,0,0.0,0.0,0,80-89,5,80-96
22547,84,5067,0,0,0.015098516,22.0,0,80-89,6,80-96
28750,24,7083,0,0,0.104315947,0.042066629,0,20-29,3,20-39
17599,82,4000,0,0,0.011990463,0.003749063,0,80-89,5,80-96
31009,83,6583,0,0,0.074315101,0.217496962,0,80-89,9,80-96
4081,91,4388,0,0,0.117443869,38.0,0,90+,3,80-96
15726,23,2905,0,0,0.938123752,14.0,0,20-29,1,20-39
12340,85,1800,0,0,0.002580437,0.156579678,1,80-89,6,80-96
8628,23,3040,0,0,0.269092363,0.079250247,0,20-29,3,20-39
24573,83,2926,0,0,0.0,0.294499488,0,80-89,6,80-96
33741,88,6250,0,0,0.003413846,0.000799872,0,80-89,6,80-96
29450,88,5067,0,0,0.001904611,0.0,0,80-89,1,80-96
17673,90,6050,0,0,0.028776207,0.006610478,0,90+,3,80-96
27119,88,3000,0,0,0.1876008,0.152615795,0,80-89,2,80-96
9094,90,3100,0,0,0.021277187,0.007094486,0,90+,6,80-96
3985,21,3300,0,0,0.289421158,0.001211754,0,20-29,1,20-39
33923,88,2741,0,0,0.323825689,0.458424508,0,80-89,7,80-96
29044,82,3261,0,0,0.019844275,0.009196812,0,80-89,4,80-96
1832,84,5067,0,0,0.9999999,0.0,0,80-89,1,80-96
4843,86,1900,0,0,0.074819554,0.20094687,0,80-89,7,80-96
14582,87,5500,0,0,0.006620233,0.00036357,0,80-89,1,80-96
9859,82,4100,0,0,0.0,0.204340405,0,80-89,5,80-96
4513,24,897,0,0,0.009694032,0.0,0,20-29,1,20-39
19801,82,8437,1,0,0.05337689,0.182626215,0,80-89,8,80-96
4922,83,5067,0,0,0.0,1.0,0,80-89,3,80-96
